transaction_datetime,merchant,amount_krw,card_id
2025-09-01 16:37:10,SKT 자동이체,30120,13
2025-09-03 17:09:27,홈플러스,51240,51
2025-09-04 13:52:31,홍콩반점,2340,51
2025-09-04 14:55:37,피아노학원 리듬,28940,51
2025-09-05 19:08:54,SK에너지 주유소,24570,2346
2025-09-05 19:36:32,서울지하철,2970,2346
2025-09-06 11:23:51,스타벅스,2450,2346
2025-09-07 20:00:13,롯데호텔,154860,13
2025-09-09 09:28:14,버스요금,1000,2346
2025-09-09 18:13:24,키즈카페 별나라,40650,2346
2025-09-09 19:15:21,현대오일뱅크 주유소,20900,13
2025-09-10 12:07:29,KT 인터넷,20290,2346
2025-09-10 13:54:59,서울지하철,2310,2346
2025-09-11 13:39:37,신세계백화점 강남,69660,51
2025-09-12 18:35:46,제주항공,163130,13
2025-09-13 10:55:55,카카오T택시,3420,51
2025-09-13 12:44:38,대한항공,77310,13
2025-09-16 11:33:46,KT 인터넷,9160,51
2025-09-16 13:25:24,현대오일뱅크 주유소,23220,2346
2025-09-16 15:43:23,롯데호텔,78530,13
2025-09-16 20:24:08,영어학원 스피킹업,61030,2346
2025-09-17 05:11:12,현대오일뱅크 주유소,29570,2346
2025-09-17 13:19:39,SKT 자동이체,37060,2346
2025-09-19 14:51:43,요기요,7090,2346
2025-09-19 15:45:34,쿠팡,65470,51
2025-09-20 10:11:42,맥도날드,5220,2346
2025-09-20 10:38:17,G마켓,57730,2346
2025-09-20 13:01:33,신세계백화점 강남,105140,51
2025-09-20 13:29:48,김밥천국,1330,13
2025-09-20 15:08:30,투썸플레이스,3790,13
2025-09-20 22:12:42,요기요,8160,2346
2025-09-21 09:23:16,피아노학원 리듬,43550,2346
2025-09-21 11:07:47,스타벅스,3420,13
2025-09-21 12:53:01,홍콩반점,5900,2346
2025-09-22 13:51:24,교촌치킨,4090,13
2025-09-22 14:13:43,크린토피아,1090,51
2025-09-22 23:00:31,현대백화점 무역센터점,45660,2346
2025-09-23 12:33:02,넷플릭스,33630,51
2025-09-23 13:27:55,GS25,1510,51
2025-09-23 16:43:54,롯데호텔,151720,13
2025-09-23 16:56:49,대한항공,128760,13
2025-09-25 03:56:47,카카오T택시,1320,51
2025-09-25 04:20:10,쿠팡이츠,7130,13
2025-09-25 17:42:43,롯데호텔,25810,51
2025-09-26 17:03:36,스타벅스,2310,13
2025-09-28 19:19:58,스타벅스,2290,13
2025-09-29 12:01:12,신세계백화점 강남,75420,2346
2025-09-30 13:09:49,키즈카페 별나라,46370,2346
2025-09-30 13:20:35,S-OIL 주유소,29600,13
2025-10-02 10:33:30,제주항공,131340,13
2025-10-04 15:00:52,컬리,66340,2346
2025-10-05 14:21:06,대한항공,160350,13
2025-10-06 14:31:02,키즈카페 별나라,510,2346
2025-10-07 22:15:33,롯데호텔,66080,13
2025-10-08 12:20:56,홍콩반점,6840,2346
2025-10-09 10:25:21,GS25,1830,51
2025-10-09 13:50:52,영어학원 스피킹업,34850,2346
2025-10-09 16:03:03,현대오일뱅크 주유소,19920,2346
2025-10-12 15:37:37,신세계백화점 강남,65900,51
2025-10-13 10:29:43,신세계백화점 강남,140800,2346
2025-10-14 13:14:48,피아노학원 리듬,28410,51
2025-10-15 13:30:11,롯데호텔,60120,51
2025-10-16 16:03:07,현대백화점 무역센터점,32840,2346
2025-10-17 14:27:07,GS칼텍스 주유소,28240,2346
2025-10-19 10:04:36,현대백화점 무역센터점,37740,51
2025-10-20 10:06:58,키즈카페 별나라,11180,2346
2025-10-21 9:17:34,피아노학원 리듬,27920,51
2025-10-22 12:28:44,신세계백화점 강남,69100,51
2025-10-23 10:44:50,영어학원 스피킹업,33810,2346
2025-10-24 13:58:36,롯데호텔,121760,13
2025-10-25 13:28:17,쿠팡,13350,51
2025-10-26 9:55:01,현대백화점 무역센터점,30930,51
2025-10-26 11:13:30,키즈카페 별나라,11040,2346
2025-10-28 14:15:33,영어학원 스피킹업,33370,2346
2025-10-30 13:50:20,피아노학원 리듬,27610,51
2025-10-30 16:16:32,롯데마트,39670,13
2025-10-31 10:04:15,현대백화점 무역센터점,30440,51
2025-10-31 12:20:56,홍콩반점,6750,2346
2025-10-31 14:15:33,영어학원 스피킹업,32840,2346
2025-10-31 19:15:37,크린토피아,8820,51
